com.battlelancer.seriesguide#90029:	  Had to reinstall but cant connect to trakt and now i camt access anything pls fix 
com.battlelancer.seriesguide#90033:	  does not sync tv shows with trakt and overcomplicated for what it is supposed to do. you get lost in pages opening in pages. 
com.battlelancer.seriesguide#90036:	  It doesn't sync between devices, meaning that my Trakt reflects no changes, which makes it significantly less effective. I have to manually correct my progress continually. I subscribe to X pass, but I really don't know why. I am definitely annoyed with having to remember where I am in a series to manage the app, when the app is supposed to help to manage remembering where I am in a series, especially after not watching a particular series for months or years at a time. 
com.battlelancer.seriesguide#90038:	  For people that love watching TV series, this app is necessary companion. It looks amazing, everything has been kept up to meet Google's design guidelines, swiping is superbly implemented and the app performs without any issues. Support by the developer is also great. Definitely one of the best apps on the whole Play Store 
com.battlelancer.seriesguide#90043:	  Doesn't get enough credit, amazing app! 
com.battlelancer.seriesguide#90101:	  I schedule my entire TV watching using this. Seriously, for any TV fanatic it's a dream. Easy to use. Easy to read. Never had a single problem in 9 months of use. 
com.battlelancer.seriesguide#90105:	  I wish the integration with trakt was more seamless. I mean it doesn't sync ur watchlist automatically, u have to add the show manually in the app after adding it to ur watchlist in trakt. Also, the app doesn't always reflect changes made on trakt. 
com.battlelancer.seriesguide#90106:	  I've been using this app for a year, and it's quite useful. But I don't rate it with 5 stars, because several series are not updated (like agents of shield, arrow, designated survivor, and others). Please fix it. Thanks 
com.battlelancer.seriesguide#90147:	  Pretty cool. Only use it for tract.tv (which I HIGHLY RECOMMEND). Once integrated it helps me keep track of my next episodes and new shows I don't want to forget. I am a heavy user of Kodi, and with tract on the and in the app, it is very helpful. There are some anomalies with sync, but I haven't used it enough to elaborate further. Once I get to the bottom of it (could be user error), I will gladly bump to 5 star 
com.battlelancer.seriesguide#90149:	  Works great, Never have any problems 
com.battlelancer.seriesguide#90151:	  Some reason having some issues with syncing with trak.tv and some shows won't show proper info. Like lethal weapon shows wrong info 
com.battlelancer.seriesguide#90161:	  Can't access existing list 
com.battlelancer.seriesguide#90163:	   Suddenly the grand tour disappeared from my watch list. No fix.... 
com.battlelancer.seriesguide#90175:	   All the updates which i don't get from Google are available here 
com.battlelancer.seriesguide#90177:	  Why are some shows not getting episodes updated? 
com.battlelancer.seriesguide#90180:	   It has problems updating the cover photo of the shows and the release date. 
com.battlelancer.seriesguide#90238:	   Very useful, configurable, and easy to use. Use it constantly to track the shows I watch. Unfortunately, I can't find at least one of the U.S. summer shows. Hope they get added soon. 
com.battlelancer.seriesguide#90241:	  The app is not auto updating anymore but with manual update it works fix this and I give you guys 5 stars! 
com.battlelancer.seriesguide#90270:	   As far as functionality goes it has everything you would need. However there are occasionally some syncing issues with trakt. 
com.battlelancer.seriesguide#90287:	   Constantly misses shows I've already watched on Trakt, doesn't sync my watch list, has its own separate watch list? It's a fine app by itself but the poor sync capabilities won't work for me. 
com.battlelancer.seriesguide#90288:	   Still Pretty perfect, only a handful full of tiny tiny issues 
com.battlelancer.seriesguide#90293:	   Previous review complained that it didn't sync between devices. It does. I feel like there is something else I wish it did, but I can't think of what it would be 
com.battlelancer.seriesguide#90295:	   There is only one issue i found, tought. It doesn't show the Saint Seiya - Lost Canvas in my list, even if i try to add it again, it will say "Saint Seiya will appear on your shows list shortly" and never does. Also, the Saint Seiya - Hades OVAs are nowhere to be found. I hope it gets fixed/added soon. Aside of that, it's a very good app. 
com.battlelancer.seriesguide#90333:	   I like SeriesGuide and I recognise it has gotten better lately, but I still miss the automatic show sync-ing across my two devices. It sucks that when I start "following" a slow on my tablet, it doesn't get tracked by my phone. I've of course linked both to my Trackt account! Still, takes sometimes forever to set an episode to "watched", then fails, fails to add shows to the watchlist... 
com.battlelancer.seriesguide#90400:	   Awesome guide don't get lost no more 
com.battlelancer.seriesguide#90426:	   Best app hands down. If I could give half star I would have just because with the latest ver 7.0.1 the app no longer closes properly when I press the back button or leave it. I still see it in my notification panel and have to force stop. Please fix!! Also it would be nice if possible to see duration of shows and movies displayed when your in your list, to me seeing date, name, favorite, and channel is great but it's missing duration. No idea if it's possible but just something I think would be nice to have 
com.battlelancer.seriesguide#90449:	   The widget it's not working. 
com.battlelancer.seriesguide#90483:	   Occasionally fails syncing w trakt and doesn't allow an update of episode seen. I couldnt care less if it can't update , show me the update in this app w an asterisk to update w trakt later. Other than this, great app. 
com.battlelancer.seriesguide#90484:	  It doesn't update descriptions as episodes have aired even. I'd just like this fixed 
com.battlelancer.seriesguide#90495:	   Facing problems like can't connect to trakt and talk to you later.. Kind of annoying 
com.battlelancer.seriesguide#90505:	   Love the app, helps me track all the series I'm watching. Always up to date. I can always find a new TV series, never had any issues. 
com.battlelancer.seriesguide#90527:	   I can't watch the movies or TV series that I listed on my list it doesn't work how can I watch pls. Help me??? 
com.battlelancer.seriesguide#90529:	  An amazing app but I can't add any showes when I'm on wifi so until it gets fixed I'm only giving 3 stars 
com.battlelancer.seriesguide#90534:	   I use it everyday to know what episodes I've seen and not seen since my DVR regularly misses things. I only have one problem with a series missing from my list. I think it might have to do with 2 shows of the same name being added and removing one. Can't fix it. 
com.battlelancer.seriesguide#90541:	   Keeps me in track with my hundreds of tv series. Could not live without it. It would be great if the widget worked like the app and didn't remove episodes until they were ticked watched instead of removing them once the air date/time passed. 
