com.frostwire.android#180028:	  I love it, it's a awesome app an you get alot of music you CAN'T find anywhere else.... 
com.frostwire.android#180030:	  I searched for a singer i know named That Poppy, i tried to find her album Bubblebath but i did not find it. 
com.frostwire.android#180034:	  Won't download songs 
com.frostwire.android#180046:	  Stupid This app is stupid AF bruh can't find any music. The 
com.frostwire.android#180061:	  App was great. Now it says error: trouble moving file. Im gonna try one more time. Redoenload it and hopefully it witks again. If not, Goodbye Frostwire. 
com.frostwire.android#180073:	  I like it but it's not working for me I don't why help please 
com.frostwire.android#180080:	  It was awesome to start with then I guess after the update when I would download a song from in this moment or bullet for my valentine it would fill my phone with songs I didnt download and I would have to go through and delete them. So annoying please fix this 
com.frostwire.android#180103:	  This app sucks more d then the chick that stands on a corner I can't find the song's I'm looking for 
com.frostwire.android#180117:	  This is the best app ever. If i did not find this I would be mad as heck. NICE APP BRO! 
com.frostwire.android#180120:	  Not working this apps. 
com.frostwire.android#180130:	  I cannot find all the songs I want. Some artist aren't even being recognized. 
com.frostwire.android#180148:	  It's the original lime wire renamed I trusted it then I trust it now. Like my old Ford shes reliable! Lol enjoy and don't forget to share!!!!! 
com.frostwire.android#180149:	  This app "SUCKS" BIG TIME!!!!! Fond my music but will not download to my phone. FIX THIS APP 
com.frostwire.android#180153:	  Does not work 
com.frostwire.android#180155:	  Can't find some songs. But very nice. 
com.frostwire.android#180156:	  Most of the time, it downloads files fine, but now it won't download a single one. It downloads most of it, then says ERROR: MOVING INCOMPLETE. I have looked at all the troubleshooting options and none of them have helped. Plz fix. 
com.frostwire.android#180168:	  The worse app in the world. Trust me don't download it. 
com.frostwire.android#180176:	  Kept crashing after a week I couldent even get on and virus es on my tablet 
com.frostwire.android#180190:	  Sometimes it doesn't work, but I love it so much. 
com.frostwire.android#180197:	  Started out a good app. However now I can't download the songs off of the YouTube option. Also it quit searching songs 
com.frostwire.android#180201:	  Well it's good but I couldn't find the music I wanted 
com.frostwire.android#180202:	  When i first got this app, it worked great & i loved it. Now it doesn't work. I can't find anything i want, &what little i do find, it won't download! Each update has made it worse. Is there some way ya'll could fix this? It doesn't work with wifi or mobile data. 
com.frostwire.android#180207:	  Doesn't find any of the songs I search 
com.frostwire.android#180217:	  Sucks doesn't find the song I'm looking for 
com.frostwire.android#180222:	  I can't find people like EDWIN STARR or SISTER NANCY...or even RICK JAMES I may b 18 but I love my oldies man like WAR 
com.frostwire.android#180238:	  This app sucks. It will not find any songs I want. 
com.frostwire.android#180247:	  Not working 
com.frostwire.android#180257:	  (WARNING)...Yes I was able to download but not without some consequences. Do not use this site, every download was reported with my IP address attached. 
com.frostwire.android#180270:	  Doesn't find anything I look for 
com.frostwire.android#180277:	  It used to be good! Now i can't get any results for a song unless i type the artist by itself. If I type in the name of a song nothing, if i typed in the name of the artist and the song, nothing. Im only able to search the artist and then go hunt for the song and hopefully find it. I may be doing something wrong, im not sure, thank you for a overall good app! 
com.frostwire.android#180278:	  At first it worked great, but then when I switched over to Frostwire plus then I couldn't download anything, but crappy covers. It sucked, but the good thing was that it pulled all my musux from Google Play...I just wished it downloaded directly to google play. 
com.frostwire.android#180283:	  It keeps downloading random music files and deleting random songs that I ACTUALLY downloaded. Every day I have to re download about 5 songs and clear out about 30 that I didn't download. It's the most annoying thing ever. 
com.frostwire.android#180293:	  I would like to thank the customer service team for helping me figure out why I was having so many problems with the app. Everything seems to be back to normal and I have been able to find most of the music I've been looking for. 
com.frostwire.android#180297:	  FrostWire is like the best thing in the world is like I can download everything I want and then the updates when I did it it didn't stop all my downloads and I couldn't after that I couldn't download any more my videos or music and then and then all my FrostWire music when I did it it all deleted 
com.frostwire.android#180301:	  So bad don't download this music app because you have to log in 
com.frostwire.android#180304:	  I had to re-download beacase it stopped working. I am disappointed 
com.frostwire.android#180345:	  Doesn't load 
com.frostwire.android#180353:	  The new update has a lot of bugs. Can't download anything 
com.frostwire.android#180358:	  Works pretty well most of the time. But some times it just says error when I try downloading stuff 
com.frostwire.android#180373:	  Was the best download app I've had...WAS..Over three months I download a great play list from my youth then it decided to to just stop working. Couldn't find anything, including the tracks I has already downloaded and anything I manage to find downloads then comes up error movement incomplete. Reinstalled latest version, change the music player but still no joy. Nothing on the help page for these problems so I am a bit peeved as a can't find a download that anywhere as good as this was... as I say WAS .From 5 + stars to 1. 
com.frostwire.android#180377:	  I have not been able to download anything in about a month. You really need to fix this and fix it soon! 
com.frostwire.android#180384:	  It's not like the old frost wire where I could download a ton of classic rock for free and it's really sketchy, don't get this app if you're into classic rock and roll it sucks. 
com.frostwire.android#180385:	  It won't download my songs 
com.frostwire.android#180387:	  Ever since the update my phone keeps freezing and the songs don't download to phone. 
com.frostwire.android#180395:	  If there's a problem with this app its just your too stupid to use it not all files are real or work its not their problem 
com.frostwire.android#180397:	  So I really like this app and find most of the songs I really like but I keep running into an issue where when I use it it creates around 500 fum titles that don't play anything. No music and its all titles from the artists I have downloaded ( not even specifically the songs). Please help 
com.frostwire.android#180435:	  Downloads are inaccurate and they don't download completely. The app freezes when I'm changing from tab to tab in the app. 
com.frostwire.android#180463:	  Used to be able to find music I was looking for. Now I can't find any! 
com.frostwire.android#180476:	  Finally a application that allows you to download full albums and it works really well after the fixes 
com.frostwire.android#180501:	  It's a good app I just have to uninstall then reinstall a few times a month Wich is BS... But if that was fixed it would be  
com.frostwire.android#180521:	  Rubbish couldn't find any thing i wanted 
com.frostwire.android#180569:	  It's not allowing me to do the new update it says 'Sorry, don't know How to open this file' and now won't find any results I'm looking for 
com.frostwire.android#180572:	  I can't find most of my favorite artist's good songs (ex. When I search up Tobu, no matter what I put, it only shows 3 of his songs, and he's made WAY more songs than just 3). This is the only problem I have with this app. Please fix it. 
com.frostwire.android#180613:	  Awesome for phones that you can't get music get this it helps so much 
com.frostwire.android#180623:	  Can't find all the songs/bands I was trying to find 
com.frostwire.android#180624:	  Free downloads and I have yet to search for something that I don't find. I am happy with it! 
com.frostwire.android#180628:	  Only continuously downloaded if the app was open. Wouldn't download torrent if the phone was in sleep mode. 
com.frostwire.android#180631:	  This app is the best music app I ever had it give me all the songs i want without any problems 
com.frostwire.android#180639:	  Waist of time.... didn't download anything. I can't find one damn song. 
com.frostwire.android#180648:	  I downloaded a few songs that I wanted to download from my favorite band but after I downloaded those songs it started to download songs from said favorite band that I didn't want to download fix it and maybe I'll reinstall it 
com.frostwire.android#180666:	  IS NOT UP TO DATE WITH TRENDING SONGS CANT FIND WHAT I WANT DON'T DOWNLOAD WASTE OF TIME 
com.frostwire.android#180676:	  This app won't work for my phone, I cant dl me no Gospel 
com.frostwire.android#180680:	  Didn't have the songs I needed music doesn't download to phone 
com.frostwire.android#180694:	  Its fantastic.. Although sometimes it won't download, idk why.. 
com.frostwire.android#180709:	  It's a class app but it stopped working for me, like it was fine for a few weeks then when I tried too download a song or album it would just say downloading but it wouldn't be downloading 
com.frostwire.android#180720:	  Junk, doesn't work. Just sits there saying downloading while doing nothing 
com.frostwire.android#180726:	  When a app can't find any songs by Elvis Presley,then that app is as worthless as the stupid person that design it. 
com.frostwire.android#180731:	  Every single time I go to the search bar and type a song or artist it doesn't have any results? Its impossible for me to download music it worked so good for me before and all of a sudden I can't search Anything!!! Please fix!!! 
com.frostwire.android#180733:	  I don't get what everyone else is saying... I couldn't find any music, just TV shows. 
com.frostwire.android#180738:	  I can't find all my favorite songs 
com.frostwire.android#180742:	  Please fix it keeps downloading albums and songs I didn't download 
com.frostwire.android#180747:	  Really good app! But it needs a better search engine!! Fix that and it'll be 5 stars! Love how it downloads straight to phone but the search engine needs a lot of work. Can't find certain songs and its a bummer cause it would be a great app if it wasn't for that! 
com.frostwire.android#180762:	  Can't find half the songs I wanted 
com.frostwire.android#180763:	  Do not download worthless app 
com.frostwire.android#180770:	  Doesn't work 
com.frostwire.android#180797:	  Couldn't get a the songs I wanted.. Bit oy was still great for just random times when I considered music as an entertaining aspect in my life that I needed.to listen to and bring back... 
com.frostwire.android#180826:	  Worst app ever! Nothing but adds & i couldn't find but 2 songs I like.. Lying ass people!! Do NOT download, you will regret it 
com.frostwire.android#180829:	  It was downloading and now it isn't. Please fix it. 
com.frostwire.android#180837:	  Can't play the song after you download it. You need to fix this. 
com.frostwire.android#180849:	  It needs to be updated I listen to alot of genres like house club grime hip hop and rap and I just can't find what I want it certainly needs to sortet put 
com.frostwire.android#180853:	  Couldn't find anything that didn't need WiFi to play, and this has helped a lot. 
com.frostwire.android#180856:	  Connection problems. Have to keep uninstalling and reinstalling.causes phone to lag and freeze up. Not worth it. DEFINATELY NOT WORTH IT. 
com.frostwire.android#180858:	  Had the app for almost 2 years now! Love it so much! Would be 5 stars but recently since the new update it no longer downloads the full torrent on some albums. Hopefully they can fix it! 
com.frostwire.android#180879:	  Doesn't even gibe correct song#don't download EVER!!!! 
com.frostwire.android#180883:	  It's stopped working. 
com.frostwire.android#180886:	  When did I ask to download 39 songs and 5 pictures yah please fix this 
com.frostwire.android#180889:	  Great, downloads almost ANYTHING. Only problem is that when i try to delete the songs, they reappear... Otherwise, great app. 
com.frostwire.android#180891:	  You should be able to write a song or movie more than 3 to 4 words you i can't find any clean version's of songs but other then that is like it it's ok 
com.frostwire.android#180894:	  It doesn't have the songs I like and it's so slow and lagging alot don't get this crappy app 
com.frostwire.android#180897:	  This app never give's me a problem I have used it for a hole year and no problems at all it is worth 5 stare 
com.frostwire.android#180904:	  This app is incredible!!! Ever since Limewire had problems in 2009-2010 with lawsuits and all this app emerged 2 years ago believe someone told me in 2014-2015. It has been so amazing and I am so glad that once again we have access to a free Downloader that is legal download and is protected to be going strong on the market. Thank you to the developers for bringing this!!! It seems like everyone was starting to lose hope after Limewire was found out to be terrible after hearing about their lawsuits for whatever reasons. My hope is that Frostwire continues for years to come!! I have been able to find my favorite artists most of them on that site. I am very well pleased!!! Job well done guys 5 out of 5!!! 
com.frostwire.android#180917:	  There is a lot of music I could not find and had to repeatedly find other sources. Question: if I were to delete the app will or delete the songs I have on my SD Card? 
com.frostwire.android#180918:	  Its okay except I can't download Mexican music 
com.frostwire.android#180924:	  Even after the update fixing the connection issues, it still won't download. Before all those happened, however, it worked perfectly fine. 
com.frostwire.android#180933:	  i can't download it because i have no sim card 
com.frostwire.android#180941:	  Now most torrents will not download. Pretty frustrating. 
com.frostwire.android#180946:	  It literally sucks I can't find any music 
com.frostwire.android#180951:	  App sucks.. can't listen before you download and can't find what I'm looking for. Waste of space 
com.frostwire.android#180960:	  This was the 6th app I downloaded cuz the other ones sucked...I'm pretty happy with this one....haven't had problems yet. 
com.frostwire.android#180964:	  Doesn't download most songs I've tried. 
com.frostwire.android#180970:	  It sucks couldn't find any songs. Do not use this downloader. 
com.frostwire.android#180987:	  Always keeping up on issues and putting out updates!! You guys are on top for a reason!! Thank you Team!! 
com.frostwire.android#180996:	  Use to work great now when I down load something there is an error. Really annoying. 
com.frostwire.android#181007:	  It was the best music app until update on feb 15 2017. Now I can't download anything...says "error:moving incomplete ". Fix that and 5 all the way. 
com.frostwire.android#181016:	  Download other apps to find music this one don't have but keep coming back won't download another sticking with this one 
com.frostwire.android#181029:	  Doesn't display results from TouTube anymore, leaving the search results pretty much obsolete. Also, opening this application is a real pain, because it won't actually close until I manually go to my settings and force stop the application. These were apparently fixed along time ago but not for me, at least. 
com.frostwire.android#181034:	  I sent a report to them and they fixed the problem within 24hrs. 
com.frostwire.android#181044:	  It's a cool app to share with friends and stuff, but sometimes it don't work and that ticks me off a little. 
com.frostwire.android#181050:	  I cannot find any of my songs 
com.frostwire.android#181060:	  Can't find all of my songs 
com.frostwire.android#181072:	  Literally the worst app i have ever seen, The smallest song list imaginable but when you finally do find a song it won't even attempt to download and just error if i could give it minus 5 stars i would, The type of app that will give you aids just using it 
com.frostwire.android#181082:	  Doesn't work I searched for Justin bieber and got one song wtf 
com.frostwire.android#181084:	  It is good, and it was what I wanted. The thing is that the app won't download anything that is above 8 mb. 
com.frostwire.android#181094:	  Can not download the artist 's you like 
com.frostwire.android#181095:	  Thank you for fixing the download lag/freezing, have you guys ever considered some sort of anti virus system that can possibly stop people from implanting viruses in their seeds? 
com.frostwire.android#181099:	  Please update the app. I've been with you since lime wire then frostwire. I've never had an issue. Please fix the torrent. Then will be 5 stars again..... All is back to normal. Thanks guys 
com.frostwire.android#181100:	  Some torrents are not download automatically I'm just downloading torrent file separately in that site pls fix this 
com.frostwire.android#181114:	  Shame such a good app with practically ever music song I want is so up n down, so we are back to fast downloads excellent but for how long...This has always been my no 1 for songs I have nothing else on my phone apart from FrostWire it's just annoying that it's so up and down with problems never had such a bad app for that as other apps only update now and then for extras..Aye well I'm still with you been a long time now haha 
com.frostwire.android#181126:	  It doesn't work 
com.frostwire.android#181140:	  Really not happy with this ive had the app for awhile now but since the new update ive been having problems. First it wont let me do the new update i try to update and the app says it doesnt know how to open this file second now when i try to download a song youtube isnt an option and if you know the app youtube is pretty much the only option i would like to uninstall and reinstall the app but i dont want to lose my many songs that i have already downloaded (lg g5) Thank you for the help fixed my problem 
com.frostwire.android#181164:	  Loved it but now it won't let me download anything. Please fix. 
com.frostwire.android#181165:	  It was perfect, developed issues, but they were sorted very quickly and now it's perfect again 
com.frostwire.android#181167:	  Thank you for fixing the issue. Still my favorite free downloading music app . 
com.frostwire.android#181170:	  Won't download anything for me 
com.frostwire.android#181174:	  It used to be the best now won't download movies 
com.frostwire.android#181178:	  It won't download. I choose to download and nothing happens 
com.frostwire.android#181179:	  First of all there are a lot of mislabeled songs like they would be called something but when you download it, it turns out to be completely different or just a bunch of musical instruments and every 10 mins there would be an add it could be really long or short but overall it was alright but could you please remove some of the mislabeled songs or at least rename them because that is the most annoying thing about the app and I uninstalled it but it said I didn't and kept downloading random songs on its own so when I tried to install it again to sort the problem out it wouldn't let me re download it and now my music is flooded with random songs and stuff plz fix cuz its taking up all my data space and all that 
com.frostwire.android#181185:	  Use to work great but it stopped 
com.frostwire.android#181187:	  Can't download 
com.frostwire.android#181188:	  Fukin please fix the app it doesn't let me download any more music and I have lpenty of space 
com.frostwire.android#181198:	  It was my favorite app where I use to download music from but now it's not don't get me wrong it's still a good app . But when I try to download music it doesn't want to it take a long time to download .please fix this 
com.frostwire.android#181203:	  Piece of garbage half the time can't find what I want and when I do it won't even download...i agreed to everything. 
com.frostwire.android#181206:	  I like it but sometimes it won't download the song and I have to redownload the app. 
com.frostwire.android#181208:	  Great app where I found songs i wanted to listen to without a problem 
com.frostwire.android#181213:	  The songs I download end up getting deleted and downloaded back which I'd really annoying please fix! 
com.frostwire.android#181214:	  Sometimes the songs don't download. It will just be at the downloads screen and read downloading but the bar doesn't move. 
com.frostwire.android#181216:	  Can't download anything , always says error 
com.frostwire.android#181235:	  Won't work at all 
com.frostwire.android#181239:	  Why it its not downloading? I get the song i'd like to download, but it's nnot downloading 
com.frostwire.android#181251:	  I installed this app so many times now it still won't download anything now 
com.frostwire.android#181253:	  Nothing will download for me. Uninstalled and installed again twice. Won't work. 
com.frostwire.android#181265:	  wouldn't find recent artist . like Kodak black or Frankie d 
