com.fsck.k9#50000:	  Your app will not work on my tcl 5056 n.... Then again I am smart and use a vpn.... Dumb ass 
com.fsck.k9#50002:	  I will give 5 stars when you fix this so I don't have to keep closing the email and opening it again to make it actually display on my screen. Really annoying. 
com.fsck.k9#50004:	  No notifications in Nougat Please fix this 
com.fsck.k9#50005:	  Syncing Disabled bug is back. 
com.fsck.k9#50009:	  Can't see attachments! 5.203 has two big problems. Messages load slow, real slow. And the attachment is now indicated at the bottom of the message not at the top. So you can easily miss it. This is a deal breaker for a default email client. 
com.fsck.k9#50014:	  Auto sync is permanently disabled after upgrading to android 7.0. Checking background sync to "always" doesn't work. 
com.fsck.k9#50015:	  Stopped syncing after latest nougat update.... 
com.fsck.k9#50016:	  Can't create folders or save messages! Don't waste your time, you'll eventually have to switch to something else. Everyone needs to save some important messages in a separate folder where they won't get deleted while cleaning up the inbox. 
com.fsck.k9#50019:	  Last update fixed most of the zoom issues, but it still persists. Not all emails can be zoomed out unless all the pictures are loaded, which I quite annoying. Some other emails refuse to be zoomed out on even with all pictures loaded. 
com.fsck.k9#50020:	  Is anyone having issues connecting to verizon email using pop, ssl, and pw? Issue started last week. 
com.fsck.k9#50023:	  Doesn't work properly with corporative gmail 
com.fsck.k9#50026:	  I've used this for over 4 years without any problems, however since the latest update and Android 7 it constantly stops syncing! I've made no changes and have managed to get it syncing again by changing the poll frequency but without warning it stops again? I found K9 when my stock email failed to cut the grade and this problem has forced me back only to find the stock app on Samsung is much better, so sorry K9 you've dropped the ball and I've been forced to move on. The syncing issue is all over the internet forums so it doesn't look like much is being done to rectify the problem. I may be back one day but I suspect not soon. 
com.fsck.k9#50027:	  Got the latest update working only after installing it from scratch.... Some emaining issues: Sent messeages sometimes show up in both, Sent and Trash folder. Draft messages with attachment are not fully synced (i.e. attachments are not available on the server). 
com.fsck.k9#50029:	  Good and simple email app. My main problem is, when use this email app is sometimes unstable (connection between app and email server). 
com.fsck.k9#50032:	  This app used to be great but recently has gone down hill- crashes about twice a day, takes forever to process requests, eg to open a message. Also crashes when deleting messages. 
