com.ichi2.anki#170004:	  Someday After updating the Anki crashed 
com.ichi2.anki#170011:	  The app was one of my favourites but somehow it does not work anymore (It only shows the 'settings' tab and whenever I click 'back' it closes and I get a notification that Ankidroid doesn't work at the moment.) which puts me in alot of trouble with my upcoming exams next week for which I now have to write everything down somewhere else again. It would be incredibly helpful if this was fixed.Before this I would have given a five star rating. 
com.ichi2.anki#170023:	  Crashes everytime I try to change a card's type 
com.ichi2.anki#170036:	   Its says encountered problem. I have force stop, clear data and more. Nothing could helps 
com.ichi2.anki#170044:	  Love the concept, however the desktop platform is not convenient. I have been attempting to export decks from the desktop to the app for the past 3 hours. I keep receiving the same error "not valid .apkg file". If you need a 30+ page manual to explain how to use a software you are doing something wrong. 
com.ichi2.anki#170045:	  Reset progress option in card crashes the app. Kindly debug. Thanks 
com.ichi2.anki#170050:	  The app was perfect... Until the update. Now you can't delete note types or check empty cards without getting an error message (did they even do BETA testing?) seems like instead of adding features, they're just taking some away... 
com.ichi2.anki#170053:	  It's a wonderful app, I try to use it every day. However, it seems it's not displaying line height properly. In my card CSS I have set a line height, but it's not working. 
com.ichi2.anki#170056:	  I'm starting to get used to this. But then one day I accidentally deleted one card then I can't find a way to bring it back! No deleted folder on app? If you could respond please I have serious short term memory so I tend to forget things very easily. I can't remember which card I deleted! 
com.ichi2.anki#170062:	  Add the support for android nougat permissions, the app crashes every time I try to add image 
com.ichi2.anki#170074:	  Awesome but, it can't read/open the AnkiDroid files generated by the JED app. It would be super if you fix that 
com.ichi2.anki#170076:	  Hi, I was wondering can I not revise my staff 2 or more times? When I revise it once, all of my notes will disappear. Can someone help me to solve this problem. Thanks. 
com.ichi2.anki#170096:	  AnkiDroid is really helpful when i don't have much time with my PC. This is the most important app in my Android, and the bugs on the latest version is so much fixed. Thanks AnkiDroid team. 
com.ichi2.anki#170116:	  Have been using this app for years and suddenly am unable to delete a profile I don't want anymore. I got the following error message: An error occurred. It may have been caused by a harmless bug, or your deck may have a problem. To confirm it's not a problem with your deck, please run Tools > Check Database. If that doesn't fix the problem, please copy the following into a bug report: Traceback (most recent call last): File "aqtmain.py", line 210, in onRemProfile File "aqtprofiles.py", line 151, in remove File "thirdpartysend2trashplat_win.py", line 56, in send2trash WindowsError: [Error 5] Access is denied: u'C:UsersSonikaDocumentsAnkiSonika' Please advise! 
com.ichi2.anki#170118:	  The best flash card software after testing many others especially on windows, and its free. thx to developers ***********only one thing: the desktop version plays mp4 video formats but mobile version dosnt. Deer developer pls help this problem occourd after flashing to android 6 and reinstalling ankidroid v. 2.7 
com.ichi2.anki#170128:	  Very easy and simple to use. Suggestion: The whiteboard , handdrawn notes should be saved. Currently it is not saved when the card is shown again. 
com.ichi2.anki#170130:	  But the NULL input filter is stuck if once triggered. Please correct this. Update 22.1.2017 Thanks for fixing :) 
com.ichi2.anki#170132:	  Usability is insane. I spend huge amount of time just to import my file and still can't find how to just reverse cards 
com.ichi2.anki#170153:	   Anki is a great app for memorising. The problem I have encountered is that, if I haven't been using anki for days and then started reviewing the cards, the time periods on good and easy button behave as if I have been reviewing them regularly. It shows big times like 29 days, 1.5 month etc, when clearly, I haven't been reviewing them so I need to review them more often than what the app is suggesting. What is the solution? 
com.ichi2.anki#170162:	   This is the BEST APP for remembering anything no doubt but, I'm having really big problems with this app. I was going on it for my daily learning routine but I found that all the letters were on top of each other that I couldn't read it at all, this happened on every card I flipped, I have been using this app for a while now but this just happened recently, please fix. I have a Lenovo TB3-850F 
com.ichi2.anki#170178:	  I cant download from the shared decks unless im on a computer... i don't have a computer :( i had this app a year ago and didn't have this problem. 
com.ichi2.anki#170184:	   Is there a way to review cards based on the sorting options in the card browser? Like created time? The desktop client couldn't fix it despite not including the scheduling options. The cards show based on time added are all over the place. 
com.ichi2.anki#170192:	   1.Timing error for Turkey 2.I changed the fonts of some sections in card, it shows the change in anki app on computer but it doesn't show it in ankidroid. 3. Backup doesn't work 
com.ichi2.anki#170194:	   All my cards are gone now, I haven't used that for 4 months and when I returned I saw all my cards are gone 
com.ichi2.anki#170207:	   When I try and open the app it tells me I need to turn off the screen overlay (which is already turned off and my phone won't let me turn it on anyway) and after that fails it says AnkiDroid directory is inaccessible. It's probably a problem with my phone rather than the app but help would be appreciated 
com.ichi2.anki#170210:	  I would have failed out of school without this app. 
com.ichi2.anki#170217:	   Can't access all of my deck- it says that I have no cards due, even though there are so many in my deck. If I can't resolve this, I'm going to have to delete the app. :( 
com.ichi2.anki#170232:	   No contest, the best study app available. Simple, syncs to my dictionaries and has never given me any issues whatsoever. 
com.ichi2.anki#170234:	   The app marks "Good" answers as wrong and reviews them immediately. If there's any fix to this then please let me know, but it's making reviewing flashcards needlessly difficult. 
com.ichi2.anki#170252:	   I don't mind writing the cards myself, it helps me learn them. And there's nothing fancy in there for no useful reason. 
com.ichi2.anki#170253:	   I am using anki now over 5 years and it's the only app I always keep on my phone. Doesn't matter which languages or other stuff, anki never failed to be awesome! Thanks guys for this app! You deserve 10 stars 
com.ichi2.anki#170257:	   1. Newly added collections are added directly into "default" deck. By no means it is retaining it's new named deck. 2. In the card browser menu, I wish there was an option to mark the cards quickly or in the easiest possible way and that selected cards can be shifted to the desired named deck directly instead of manually going into each card and then select edit option.....to change its deck. Please help solve these problems. Thank you. 
com.ichi2.anki#170260:	   Thanks to this app, I no longer have to make my own reviews manually and cover the answer with my hand. I haven't failed a single exam, not that it's common or anything, but thanks to this I have no worries. I have given my account to my fellow friends from class, thanks to the syncing option, and we take turns making our reviews through this. I really wished I had found this app sooner it has really been a life changer and I love apps that do just that, change lives. Thanks a bunch for making this! :D 
com.ichi2.anki#170262:	   On Android Nougat 7.1 it's has become impossible to sync your collection across devices rendering the cloud sync feature useless. This error appears when trying to login. Note: This error might happen when upgrading to Android 7, but a simple reinstallation should fix it so make sure to backup your collection beforehand. I've updated the review score to reflect this. A clean install SHOULDN'T encounter this issue so it's only relevant for previous users. 
com.ichi2.anki#170276:	   I can't download any decks !! I press download but no response at all 
com.ichi2.anki#170277:	   I'm trying to make a japanese map deck filled with kanji to learn how to read all prefectures and cities. I always get an error adding this note toast. I really wanna use this app so please help. Thank you. 
com.ichi2.anki#170289:	   It's crashing when I try to take a photograph for a flash card, has been for weeks, going to uninstall it. Tried to reinstall it already and issue is still happening, keeps sending errors to developer but I've heard nothing about a fix 
com.ichi2.anki#170313:	   If it doesn't ignore files in folders it likes to crash. Horrible app made by the devil. Gave me a headache trying to get it to work. You win! 
com.ichi2.anki#170330:	  This app will not let me add or import any decks when they are in the appropriate folder. Went to the website for support and there is no way of contact, just given a list of random issues that does not help my said problem. 
com.ichi2.anki#170335:	   Have been using Anki throughout my CS degree and it's awesome..! Thank you very much for keeping this android version for free..! My wife who also uses anki in her laptop, can't use the iOS version due to the crazy high price. Thank you very much guys, I have not found a bug and this free version works great..! 
com.ichi2.anki#170342:	   I love it! But get sick of it not notifying me when cards are on due. I will be appreciated if the app is fixed! 
com.ichi2.anki#170359:	   Exactly what I need. My own content. Doesn't get in my way. Syncs to all devices. Is free. Doesn't crash. Just works! 
com.ichi2.anki#170362:	   Ankidroid flashcards made through image occlusion are not getting opened. Solve it immediately 
com.ichi2.anki#170370:	   This app is not only helpful, it's also addictive! I did have an issue: I removed media from deleted decks in Anki desktop, then synced to Ankiweb, then to Ankidroid. For some reason Ankidroid would restore those unlinked media files, so I had to delete all my decks, do an empty cross-sync and start over. Not a big deal being a useful and free app, but I would recommend to anyone with the same issue just to save time if the sync keeps mumping up. Huge thanks to the Dev Team! 
com.ichi2.anki#170377:	  It didn't work 
com.ichi2.anki#170382:	   best app out there for flash cards. Only a few drawbacks, cannot automatically create a reverse deck of another deck and cannot pause a deck. I think those functions are essential especially the last one. For example you are going on holidays during a week, you don't really want to come back to a massive review count when you come back. 
com.ichi2.anki#170400:	  Great app, but syncing/transferring decks sucks. From cell to pc if fine, but pc to cellphone is terrible/almost impossible. Maybe I am not getting something (but that is not my mistake, it's theirs for not making it clear/foolproof). Admittedly, it's it deserves 4 stars. Had I paid for it, it would only get 1 for not performing on par on the syncing front. 
com.ichi2.anki#170404:	   I haven't had any issues but I can see how it can be confusing for some. The UI definitely needs to be cleaner and a built in way to get shared decks would be very beneficial 
com.ichi2.anki#170412:	   Seems to be impossible to set up a cloze function. The manual is for the desktop version, and the option to select what is to be the hidden text isn't available in this Android version. Please try to fix this. Thanks 
com.ichi2.anki#170426:	   I want to go through cards at night with no volume. However, with each card, the volume on my phone increases by 1. Hard to get flowing when I have to keep turning volume down every few cards. But great app! Happy to rate 5 with this fixed or some workaround 
com.ichi2.anki#170441:	   This app it's not working in my cellphone, I don't know what happen but it didn't even start. Please fix it. 
com.ichi2.anki#170444:	   Thank u man, this is the best app ever, (tnx for fixing play botton) 
com.ichi2.anki#170445:	   For some reason certain words get mixed with other flashcards. My flashcard for 'ataque' is always with the word 'el telono celular' and several others have the same problem. I've tried separating the decks but it's no use. Deeply disappointed in this app. 
