org.coolreader#120001:	  Not good can't open epub file 
org.coolreader#120004:	  It was my favorite app. However, I stucked with a problem that the app does not see my external SD card. So I cannot read anything from it. Please FIX it! 
org.coolreader#120005:	  It keeps closing. I just downloaded it. In 5 minutes it closed three times. Just stops working and closes. I li ke this app please fix it 
org.coolreader#120012:	  Emailed dev but no reply. On Samsung tab. Can't redirect to TRUE root to be able to read from External SD card. Not enough space on internal device so for now can't use Cool reader until/if dev decides to fix. Pity cause looks promising and prepared to pay if worked 
org.coolreader#120019:	  This works well on my Samsung 4. I use it every day. It crashes once in awhile, but I have never lost any info. It's one of the few apps I've paid for - donated in this case. 
org.coolreader#120020:	  Could B a really GREAT App but has problems: glitches & hangups, timeout conflicts, etc NOT snuff to stop using it tho 
org.coolreader#120022:	  Won't load any of my books. 
org.coolreader#120025:	  worst app this app can not find where is your pdf file in phone or memory card 
org.coolreader#120026:	  The only thing I wanted this app for was the text to speech and it sucks. About once a minute it would give up on a sentence and skip to the next one. It might have been the italic words causing the problem but whatever, it didn't work well. I have not tested any other features. 
org.coolreader#120032:	  When I showed some books like harry potter, Alice in wonderland it shows no books. So borring. Don't download it. 
org.coolreader#120037:	  Used to be really great but recently it keeps shutting down unexpectedly and loses the page. Too frustrating and there doesn't seem to be any support or updates to try and fix this problem. I don't use it any more but if the problems could be solved, I'd go back to it immediately. The best looking interface of all of the readers I've seen. I now use Moonreader which is OK but not as comfortable as Cool Reader. 
org.coolreader#120042:	  Although the app is very good, it crashes way too much for it to be prefered over other e reader 
org.coolreader#120062:	  A couple issues: 1) the read-aloud feature will occasionally skip one or more sentences. 2) on my ASUS tablet, the app does not respect when the auto-rotate setting is off (which should keep it in either landscape or portrait mode). 
org.coolreader#120069:	  Cannot access SD Card on Samsung Galaxy S5 anymore. This used to be the best reader, but newer versions do not allow SD card access. As internal space is limited this is a dealbreaker. 
org.coolreader#120078:	  Great app but is hard to fix the crashes anyway it is very good 
org.coolreader#120087:	   Seems to work right, but won't open files in certain directories 
org.coolreader#120089:	   Keeps occasionally crashing. Sometimes I tap to turn the page and the whole thing shuts down, not saving any of my reading process. Pretty annoying. 
org.coolreader#120091:	   Now with my new phone and tab , it cannot read sd card. Keeps crashing too. No idea why. Worked like a dream when using with my old phone. 
org.coolreader#120093:	   It was the second epub app I installed and it's absolutely perfect. It has a simple clean interface and highlights and bookmarks with ease,which are the features I look for.been using it on 3 different devices since past 2.5 yrs.so I've used it a lot and it has rarely failed me(no apps foolproof). Best app for epub files. 
org.coolreader#120095:	   This used to be the best reader for Android until you upgrade to Lollipop or newer OS. NOW IT CAN'T FIND ALL MY BOOKS ON MY SD CARD!! This is definitely an oversite by the development team. I started looking at other readers and found several to be equal and better than Cool Reader! Will not switch back since your team cannot keep up with technology! 
org.coolreader#120099:	  night mode not working on samsung s7 edge. It worked on samsung note 3. Far too many options and the color sliders are a pain to use. There is no support 
org.coolreader#120103:	  Have used this app for many years. It was the best. But since Marshmellow it can't find my external sdcard. I'm hoping it can be fixed. 
org.coolreader#120104:	   Reduced trom 5 to 2 stars. Still a great app but cannot get books stored on sd card. Any chance of sorting this out as,other than that, it is a really great app 
org.coolreader#120114:	   It crashes almost on every page 
org.coolreader#120115:	   Love the interface, but it crashes sometimes when the e-book css is disabled. Also slow to load large e-books. 
org.coolreader#120116:	   It used to be my favourite app but now it closes every time and randomly, while I'm reading a book. When I open again, it will take me to a different page than where I was. When I try to search for the page, it doesn't go to it and will crash once again. It's very annoying cause it's happening constantly. The one positive is that it can open all of my ebooks, even the ones that other ereaders can't 
org.coolreader#120119:	   It was my only reader app till recently. It outperformed all others until I placed a 128gb sd card in the phone and it cannot access it, so I had to uninstall the app. What a shame. 
org.coolreader#120120:	  This would be 5 stars except that with my new tablet, I can't get it to even see the SD Card that all my books are on. 
org.coolreader#120122:	   For a long time, this app has had a serious issue with the tts function that prevents it from reading epubs properly. I notice that whenever it reaches a word in italics while in a paragraph (for example) it immediately skips to the next sentence. Some sleuthing reveals that it has something to do with the span tag. When I decompress the epub (zip format) and remove all the span tags from the pages, the problem is magically fixed. 
org.coolreader#120130:	   On my Galaxy Tab A 6 it keeps on crashing. Very annoying while trying to read, especially having to find the page i was on. Needs an update. 
org.coolreader#120132:	   Then it would open up with a different format. The one installed. Then I would have to reformat it to my liking again. After the THIRD X I uninstalled it. Work out the bugs people!! This app can be better than Aldiko or Moonreader if you do. All of which I use by the way. Until then, its two or less stars in my book. 
org.coolreader#120133:	   It crashed once and never started back again even after trying to start it soo many times 
org.coolreader#120137:	   Used to use this exclusively... updated to new tablet and now cannot access files on sd card so had to install moon reader 
org.coolreader#120138:	  Does not save my settings - eg always changes my brightness. Prefer to have it permanently in portrait mode, but half of the time - even when I change both settings on phone and the ap - it stays on "sensor" mode 
org.coolreader#120139:	  Recently bought a new phone with Android Marshmallow - Cool Reader does not see books on SD card and I cannot navigate to them. When I click on a .fb2 file using explorer it does not open with Cool Reader either. 
org.coolreader#120140:	   Wouldn't care about the constant crashing if the app didn't reset my book to a random page. Not one reply to any crash reports that have been sent.....and they would be 500 plus by now. Also in the almost a year since I started using this app there has been no update to fix bugs and crashing issues. I have deleted the files the app suggests to prevent crashing only to have it crashes again 10 minutes later! If the crashes didn't occur I would rate this app a 10. 
org.coolreader#120146:	   This is the best reader I ever used. It's clean, neat, has an array of displays, fonts and backgrounds to choose from. And I don't need to import my ebooks from my phone. Only problem is, it crashes. Every time. Dear Developer, will you please update this wonderful app so I can give you a 5* rating? Thank you. 
org.coolreader#120147:	   The app cannot access the external card, where all my books are stored. Uninstalling until corrected 
org.coolreader#120151:	  Actually I love this app. Really love. The only problem is - on my Sony z3c (Android 6.0.1) it recognizes sd card, which is an emulated internal storage. External sd-card remain unseen. As soon this fixed - I'll give 5* 
org.coolreader#120153:	  It doesn't find my memory card! Why? I started reading books on the phone with Cool Reader, and it was finding it. The problem started after some cool reader update. And the problem isn't in the card, every other app on the phone does finds it! Please fix this, otherwise the app is fine. 
org.coolreader#120155:	   When you turn the page and the faster you turn the more it crashes. I can get through a chapter if I turn the page reallly slowly each turn. A bit ridiculous and annoying making it not so fun to use. That fixed and it would be a great reader. 
org.coolreader#120156:	  App is so annoying feel like killing the who created the app. Pls don't use listen to me if u won't then it gonna suffer. Installing this app is gonna be a time waste, energy waste and also space in the phone is wasted. 
org.coolreader#120157:	   So whoever is developing this app clearly isn't listening to their consumers. I've waited for a month cause at the time I was just reading old book titles. Now some new books has come out and I wish to read them on this app but they still haven't fixed the SD problem with the Android 6.0 update. I would not recommend downloading if you are using a SD card. 1 star 
org.coolreader#120161:	  Stopped opening. Shows a black screen. 
org.coolreader#120166:	   It used to be my favorite e-reader. It turned any readable file into a convenient book format. But now I cannot access my books on external SD card. Why? The same is true for Cool Reader GL. This is very unfortunate. I hope this will get fixed soon because I hate to use internal memory for storage. 
org.coolreader#120177:	  Don't work pdf to voice... 
org.coolreader#120188:	   -Newest update. Crashes and loses current book more than in any version of last 4 years The only reading app i use... And i read many hours a week 
org.coolreader#120190:	   I liked the app overall, but the TTS has a known issue of skipping italics and jumping every word after to the next period. I held on for a long time, but no fix was provided. Also crashes periodically. There's plenty of other good readers out there, so moving on. 
org.coolreader#120193:	   It has issues with displaying PL fonts. 
org.coolreader#120194:	   Really god reader, all features i need. But crashes time to time. 
org.coolreader#120195:	   It doesn't read external SSD drives, unfortunately. So, no use for me for now. 
org.coolreader#120196:	  Crashes all the time 
org.coolreader#120206:	   Couldn't use it. As soon as I downloaded it and started it my lighting went so low I see anything. Uninstall asap 
org.coolreader#120210:	   Highly customizable, every option you could want including advanced font settings, custom touch areas, titlebar with progress meter and/or battery % and clock. Bug with TTS where skipping backward results in voice skipping backward but highlight skipping forward. 
org.coolreader#120215:	   I like everything about this reader except out of over 600 epub books, it will read only 12 of them!!! Not good. Why is that? Would appreciate help on this. Went to the Web site but nothing on help for this problem. 
org.coolreader#120219:	   I read a lot of books mainly for entertainment but sometimes for school. I favor this one over Moon Reader's settings. Took some trial and error to figure all the settings out though but still my favorite reading app. 
org.coolreader#120221:	   Cannot access external SD card on Android 6.0. I installed zx Reader and it accesses the SD card without problem. Hopefully it will be fixed soon. 
org.coolreader#120223:	  Not work with new Android 6.1 
org.coolreader#120224:	   I love this app, but only one problem though still crashes sometimes i hope u could fix that 
org.coolreader#120226:	   Does not work with marshmallow on Tab S or Note 4. As it cannot read epubs on the SD card. Otherwise great 
org.coolreader#120230:	   Can't load books from SD. 
org.coolreader#120234:	   The problem is with permissions, obviously. It won't even try to access my external SD card. Sad, because this is perfectly doable (some other ebook readers can do it) 
org.coolreader#120245:	   Just one issue regarding the dictionary plug in .. Maybe It would be exceptional to have a dictionary within the app 
org.coolreader#120247:	   It crashes again and again, specially during swyping 
org.coolreader#120250:	   Its the best, until I update to marshmallow. Now only internal storage can be read. Please fix 
org.coolreader#120257:	   Love the readers versatility and integration with a dictionary. One bad thing: Newest android crashed my SD card accessibility, please fix soon. 
org.coolreader#120258:	   I've used this on my old phone for ages without issue. With my new phone, it randomly crashes and closes, losing whatever progress I have. I'll have to try a hard reset and see if that helps, because it's getting worse and happening frequently. Thankfully I still have my old phone. 
org.coolreader#120259:	  Doesn't work 
org.coolreader#120264:	   Love the app but after updating my Note 4 to Android 6 it no longer reads my external sd card where my library is stored. That needs to be fixed 
org.coolreader#120268:	   Really pleased with this FREE app thats read every book I've thrown at it. Use it daily. Now's it crashing a lot & returning back to an earlier page, 3 stars untill that's fixed 
org.coolreader#120270:	  Actually my favourite ebook reader but am disappointed that now it seems my new 128GB SD card is not accessible? 
org.coolreader#120272:	   Always used it on my S4 but disappointed with the S7 operation because it cannot find the SD card and there seems to be no answer from the author about a fix. What a pity 
org.coolreader#120273:	  Nice, but does not access SD card on Android 6. Use FBReader. 
org.coolreader#120282:	   Every time I try and open my .mobi book, the app crashes! What gives? 
org.coolreader#120283:	   Crashes a couple of times per hour of reading on average. Them have to open again and find page I was on. 
org.coolreader#120284:	   Crashing often on Note 7. Was good on previous smartphone and tablet. Hope next updates will improve. 
org.coolreader#120288:	   It won't let me open word documents. I see there's an extension for it here but it won't find any of my word docs. Unless I'm doing something wrong. 
org.coolreader#120289:	  This was my default epub reader for many years (since 2012). Unfortunately, after my Samsung Galaxy Tab S2 tablet was updated to Android 6.0.1 three days ago, I wasn't able to use Cool Reader any more to open the epub files on my SD card. It seems that Cool Reader 3 simply cannot access files on the SD card in Android 6.0.1. I tried the other app "Cool Reader GL" offered, but it too cannot open any files from the SD card. Hopefully, the developer can patch the program so that it can read files off an SD card in Android 6.0.1. Otherwise, I will need to find an alternate epub reader that can open files on the SD card. 
org.coolreader#120299:	   IT IS NOT OPENING. Even if it does, it just kicks me out could have gave it a better rate if the bug was fixed. Fix. IT. 
org.coolreader#120305:	  Cant use the internal file browser to view books on the sd card. Wish they would fix this bug 
org.coolreader#120306:	   I cannot find a way to open books in my sdcard. It won't work for me. 
org.coolreader#120309:	  Fully crashed in Moto G3 
org.coolreader#120311:	   After mashmallow update on galaxy s5 doesn't access external sd card. 
org.coolreader#120312:	   I couldn't find a way to get access to anything on my memory card where all my books are. Can you help please? Before the update I would have given a 5 star rating but now I have access to nothing I'm afraid it's a 1. Sorry 
org.coolreader#120323:	   Awesome app, and I would rate five, except for the small issue of the audio skipping portions of the story when it reaches an italicised word.  Update to fix? Pretty please? Promise to re-rate 5 if you do. 
org.coolreader#120326:	   Can you fix it? Add custom directory or something 
org.coolreader#120329:	   It's a good app, but it's auto rotating it self. Then i check setting on my phone, but I already turn off auto rotate. Please fix these, i'll give 5 star for comfy read 
org.coolreader#120330:	   It crashes at random on my Galaxy s7 and my Galaxy Tab s2. Other than that of love the app. I've been using it for years now, and it may crash but it hasn't failed me yet. 
org.coolreader#120342:	  Title says it all. I love it. I use it every night to read to help me sleep. Update: After upgrading to Android 6 (Marshmallow), Cool Reader fails to load epub files from external SD card. 
org.coolreader#120344:	   Lets you read ebooks for free. I enjoy the page color, easier to read in low light environments. Compatible with a good many formats. There are minor issues here and there, a pinch of frustration when not swiping correctly and such. But it is a very solid reader, and it is very free. You could do a lot worse than this in the app store. 
org.coolreader#120345:	   Best UI and features of all other apps. Been suffering over 10 months with crashes every half hour and loosing book position. Today did a factory reset on tablet and installed ONLY this app. 3 crashes in first 15 minutes. Google Play says last update June 2015 - over a year ago. Last year filed ticket on Source Forge but developer never responded. Moving on to #2 reader, FBReader. What a shame. 
org.coolreader#120346:	   Couldn't find any better app. This one is amazing i've been using it for a year now and you can choose the background, fonts and size. Pretty much everything that can make me reading in comfort 
org.coolreader#120347:	   Since Marshmallow, doesn't use ext storage. won't even load from it. "trying to load book from non-standard location". my favourite app just bit the dust in a gory bloody mess. 
org.coolreader#120348:	  It is perfect! Except one thing: It is crashing from time to time. I try it on 6 different devices - everywhere the same 
org.coolreader#120350:	  I recently purchased Samshung Galaxy Tab S2 and the same got uprgaded to Android 6.0.1 i.e. Marshmallow. After that, this software is not able to read epub and any other files from MicroSD card. These are showing as txt files . So this software has now become useless for me. May be sone future update will fix this, But fo rnow, this is a major problem with this software. 
org.coolreader#120353:	   Ever since the Android OS update it doesn't see my memory card where I keep my library. I hope that gets fixed. 
org.coolreader#120362:	   Crashes all the time, then opens up 2 chapters back. Touching the screen accidentally flips between chapters. Total crap. 
org.coolreader#120365:	   Love this app, but just got a new phone with Marshmallow and it can't see the SD card. I see reviews reporting this 6 months ago, so not hopeful this will be fixed. I guess it's the end of the road for me. :( 
org.coolreader#120366:	   ...until my device updated to marshmallow. Now it does not read files on my sd card. Please fix this! 
org.coolreader#120367:	   Phone updated system and now I can not get it to recognize the files on my SD card to read 
org.coolreader#120376:	   I have used this ap for years and other than a few crashing instances it has been perfect. 
org.coolreader#120381:	   Can't access sdcard on Marshmallow 
org.coolreader#120386:	   Can't open books on sd card on Android 6.0 
org.coolreader#120390:	   Use it couple years. Didn't have any problems. 
org.coolreader#120392:	  very excellent application. The ancient Froyo tablet I favor for ebooks can only use an old version, but the cold version is plenty cool enough. QUESTON: There's no icon. App mgr can't see it, it's not on all apps, no ghost icon either, no little android guy. I launch it from the old anttek app mgr pro because no other app can see it (the reason shortcut apps don't work). It doesn't even show in notifications. Is there a way to manually add a shortcut by moving files or maybe decompressing the apk? THANKS!! 
org.coolreader#120393:	  Can not open extsdcard, can not change charset 
