org.thoughtcrime.securesms#30006:	  Can't use it with pushbullet. 
org.thoughtcrime.securesms#30019:	  Nice UI and easy to use. I get some errors every once in a while for connectivity issues. 
org.thoughtcrime.securesms#30021:	  Not registering mobile number long time And then sending sms not free 
org.thoughtcrime.securesms#30027:	  Awesome app. Small problem with notifications since I upgraded to nougat but no issues otherwise 
org.thoughtcrime.securesms#30032:	  Problem with the notifications, the app does not notify about new message despite as settings turned on. Otherwise fine 
org.thoughtcrime.securesms#30034:	  No quick send message takes time to deliver." Call problem, takes time in dialing then ringing. You don't care of suggestions and reply. 
org.thoughtcrime.securesms#30040:	  I've not had a problem at all with it so far. I'm a bit of a privacy nut so it's good to see an app that's secure between Signal users. Long may it continue. 
org.thoughtcrime.securesms#30065:	  This app could be great but needs a lot of work. I've been using this app for about 6 months, and it has some very annoying issues. It only notifys me of new messages when it feels like it. I'll go hours without responding to someone because it never sent me a notification. Also, everytime I install this, either because I got a new phone or reimaged my phone, it completely butchers my contacts. Some of them go missing, most of them are then duplicated. It's very frustrating. So, save yourself the trouble and don't use this until they do some major fixes. Also worth noting, Voxer now offers secure/private voice and text messaging without all of the annoying bugs. 
org.thoughtcrime.securesms#30068:	  I kept texting my friends and they weren't texting back....then I figured out it was signal. Everyone kept telling me in person that they were texting me back. Signal was and is blocking certain texts from coming through. I don't get it...honestly. This app is a piece...don't DOWNLOAD it. Save yourself the trouble and stick with the stock messaging app. 
org.thoughtcrime.securesms#30080:	  Very good integration for both needs. Friends don't have signal would send out as regular messages. One thing though, once secured messages established, and your friend is out of data area, the secured message would not be sent as regular, it would be pending till your friend gets either data or wifi. You would know as message is failed on your end, but your friend would not. 
org.thoughtcrime.securesms#30089:	  A little problem with notification sound. But over all an awsome app 
org.thoughtcrime.securesms#30094:	  Unknown contacts can't be blocked. One of the reasons why I deleted WhatsApp was that random people started to say hi. Thought Signal was much better. Please fix this. 
org.thoughtcrime.securesms#30099:	  I Love the app! But please improve the call function! The call quality is acceptable but not very good. And the media sending doesn't always work without problems. Bedside that awsome job ! I'm spreading it! 
org.thoughtcrime.securesms#30100:	  Works great except it doesn't work with my cars bluetooth dashboard phone integration making it difficult to be a complete Android Message SMS replacement. Android Message works fine with my car displaying incoming messages and allowing me to select one-button replies like, call me i'm driving, etc. Signal's texts don't appear and there is no apparent integration. Not sure why there would be a difference. I have a 2014 Chevy Cruze. My phone is running Marshmallow. 
org.thoughtcrime.securesms#30105:	  Mostly, Signal is excellent. I have given it 4 stars as sending MMS to non Signal users is still not working quite right, but with that said, I would still highly recommend. 
org.thoughtcrime.securesms#30113:	  Awesome app, even sorted network issue with SMS 
org.thoughtcrime.securesms#30121:	  Use this for texting and messaging. [Don't use anything else] 
org.thoughtcrime.securesms#30128:	  It's pretty damn good. I like the mini-messenger drop-down for a quick reply. However, group texts and, more often than not, pictures/video can't be recieved (and sometimes sent). It tries to pull in group SMS as a single-person MMS and fails. The other two just don't pull in. This is rarely reported on GitHub, and nobody has fixed it yet. Strangely enough, after an update, it works for a solid 5 minutes before failing again. Other than that, great app! 
org.thoughtcrime.securesms#30129:	  Truly encrypted messaging that syncs across mobile and desktop. It's fast and responsive. My only issue is that sometimes mobile messages don't sync to a desktop that was offline when the messages were sent, but it usually catches up. 
org.thoughtcrime.securesms#30157:	  Good app, occasional encryption errors but overall works well 
org.thoughtcrime.securesms#30171:	  Pretty good. Only problem is linking desktop to it and it replays the message queue as it deletes it. So a clever person could record the screen. Needs fixing that. 
org.thoughtcrime.securesms#30190:	  Clean design. App is very responsive and straightforward to use. Easily replaces other SMS apps without effort. Call quality is good. Unfortunately I can no longer send SMS to any non-signal user. My phone warns me the app is sending a large amount of SMS, but the warning immediately reappears upon pressing accept. I will re-rate when this issue is fixed. 
org.thoughtcrime.securesms#30193:	  I finally switched to signal when WhatsApp decided to be stupid with its latest update. My one issue though is that my friends with iPhones can't send voicenotes. Fix that and this will be a 5-star app. 
org.thoughtcrime.securesms#30200:	  Why my call and video call is not working ?????? 
org.thoughtcrime.securesms#30212:	   Can't install the app in android gingerbread 2.3.6 version ,getting error essage that can't install the app (error :11) plz fix the issue soon 
org.thoughtcrime.securesms#30216:	  This is the best messanging app I've ever downloaded, no ads no failures. Big up to the developer!! 
org.thoughtcrime.securesms#30222:	  Not getting new message notifications. Which is basic requirement of a messaging app. 
